DesviacionEstandar,Uniformidad,Entropia,SIFT_0,SIFT_1,SIFT_2,SIFT_3,SIFT_4,SIFT_5,SIFT_6,SIFT_7,SIFT_8,SIFT_9,SIFT_10,SIFT_11,SIFT_12,SIFT_13,SIFT_14,SIFT_15,SIFT_16,SIFT_17,SIFT_18,SIFT_19,SIFT_20,SIFT_21,SIFT_22,SIFT_23,SIFT_24,SIFT_25,SIFT_26,SIFT_27,SIFT_28,SIFT_29,SIFT_30,SIFT_31,SIFT_32,SIFT_33,SIFT_34,SIFT_35,SIFT_36,SIFT_37,SIFT_38,SIFT_39,SIFT_40,SIFT_41,SIFT_42,SIFT_43,SIFT_44,SIFT_45,SIFT_46,SIFT_47,SIFT_48,SIFT_49,SIFT_50,SIFT_51,SIFT_52,SIFT_53,SIFT_54,SIFT_55,SIFT_56,SIFT_57,SIFT_58,SIFT_59,SIFT_60,SIFT_61,SIFT_62,SIFT_63,SIFT_64,SIFT_65,SIFT_66,SIFT_67,SIFT_68,SIFT_69,SIFT_70,SIFT_71,SIFT_72,SIFT_73,SIFT_74,SIFT_75,SIFT_76,SIFT_77,SIFT_78,SIFT_79,SIFT_80,SIFT_81,SIFT_82,SIFT_83,SIFT_84,SIFT_85,SIFT_86,SIFT_87,SIFT_88,SIFT_89,SIFT_90,SIFT_91,SIFT_92,SIFT_93,SIFT_94,SIFT_95,SIFT_96,SIFT_97,SIFT_98,SIFT_99,SIFT_100,SIFT_101,SIFT_102,SIFT_103,SIFT_104,SIFT_105,SIFT_106,SIFT_107,SIFT_108,SIFT_109,SIFT_110,SIFT_111,SIFT_112,SIFT_113,SIFT_114,SIFT_115,SIFT_116,SIFT_117,SIFT_118,SIFT_119,SIFT_120,SIFT_121,SIFT_122,SIFT_123,SIFT_124,SIFT_125,SIFT_126,SIFT_127,Clase
0.001499353,0.147344102,9.326290712,42,0,0,0,0,0,0,2,197,18,1,0,0,1,2,33,65,32,37,3,2,12,4,13,0,44,58,8,1,2,0,0,64,1,0,0,0,0,0,2,197,7,1,1,1,7,8,69,83,7,6,8,17,113,28,35,0,3,25,13,8,67,47,1,66,1,0,0,0,0,0,1,197,56,6,2,1,1,1,13,91,34,22,26,15,19,14,53,0,0,8,23,6,32,60,25,50,0,0,0,0,0,0,2,197,10,0,0,0,0,1,51,89,9,5,7,22,8,19,83,0,1,15,47,41,25,9,7,1
0.002189967,0.314323064,6.927082571,21,2,0,0,0,0,0,4,111,24,7,0,0,0,14,136,13,7,17,11,11,5,114,146,3,3,5,30,25,28,60,24,45,2,0,0,0,0,0,3,146,48,15,7,1,0,3,112,54,17,63,115,43,5,19,75,3,8,71,46,31,14,34,8,16,11,0,0,0,0,0,0,119,146,119,13,0,0,0,1,11,37,146,118,2,0,0,0,0,7,146,28,0,0,1,1,0,1,0,0,0,0,0,0,0,12,23,1,0,0,0,0,0,1,42,7,0,0,0,0,0,0,24,2,0,0,0,0,1
0.001973713,0.255313587,7.288070503,59,0,0,0,0,0,0,1,213,8,0,0,0,0,0,6,85,4,0,0,1,5,8,6,0,1,0,0,1,2,7,2,72,1,0,0,0,0,0,0,213,16,0,0,0,0,0,3,126,18,9,0,1,3,10,8,3,5,1,0,1,9,29,4,73,0,0,0,0,0,0,1,213,8,1,0,0,0,3,26,102,37,27,3,0,4,40,31,31,22,3,0,0,7,23,29,62,0,0,0,0,0,0,2,213,3,0,0,0,0,4,53,83,2,4,2,0,2,69,53,5,0,16,5,0,0,28,28,1
0.001116521,0.081713706,10.46150116,0,0,0,0,0,8,81,3,6,0,0,0,1,25,29,15,17,0,0,0,0,1,106,79,0,0,0,0,0,2,139,9,6,28,19,22,9,39,139,9,56,5,7,9,88,115,42,15,139,59,0,0,8,5,71,104,24,27,1,3,12,12,139,18,14,47,44,45,16,38,14,15,65,21,38,71,91,13,0,3,139,45,1,4,10,1,0,62,55,19,1,6,24,6,1,29,3,6,4,22,79,71,11,9,68,7,10,33,72,15,0,3,139,21,1,1,1,0,1,62,32,4,0,6,25,5,2,23,1
0.002567943,0.432181194,5.340959622,91,112,18,1,0,0,2,7,20,58,108,105,3,7,19,7,0,0,118,120,2,4,33,15,1,1,56,65,0,0,46,59,24,46,15,0,0,0,0,2,120,40,54,29,2,15,67,81,11,3,28,39,4,36,120,81,1,3,53,38,1,0,104,90,25,6,0,0,0,0,0,1,120,101,69,25,1,3,6,17,15,19,120,120,3,11,22,8,0,1,120,99,0,0,2,2,1,3,0,0,0,0,0,0,5,30,35,9,0,0,0,0,0,3,47,27,0,0,0,0,0,0,11,7,0,0,0,0,1
0.002956751,0.572955732,3.935287373,86,1,0,7,32,7,1,66,11,1,0,33,120,14,1,9,120,23,0,4,18,2,2,56,46,10,1,27,61,35,2,10,100,16,6,5,41,24,4,40,28,3,2,10,120,69,1,14,120,27,0,1,20,10,5,114,25,6,1,36,120,30,5,20,29,99,120,22,12,1,0,2,24,19,80,106,101,8,0,4,120,99,87,15,12,1,0,27,14,11,90,102,88,4,0,3,0,13,42,2,0,0,0,0,1,8,37,17,0,0,0,0,2,34,62,3,0,0,0,0,0,2,59,25,1,0,0,0,1
0.002187238,0.313540172,6.924556153,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,17,0,0,0,0,0,0,60,54,0,0,0,0,0,0,110,59,17,0,0,0,0,0,0,13,106,1,0,0,0,1,101,148,12,0,0,0,7,24,148,148,4,0,0,0,0,2,148,147,40,5,0,0,0,0,0,2,148,49,0,0,4,2,11,53,97,12,0,1,67,36,41,31,38,4,0,0,5,4,11,38,17,4,0,0,0,0,0,0,148,109,9,0,1,1,0,0,82,60,75,27,33,16,0,1,16,41,64,9,5,2,0,7,1
0.001528548,0.153137473,9.308215902,26,0,0,0,0,0,0,8,153,0,0,0,0,0,35,107,35,0,0,0,0,8,153,38,0,0,0,0,0,13,153,1,54,1,0,0,0,0,0,3,153,27,5,0,0,0,1,39,66,14,40,0,0,7,29,21,0,1,32,4,1,7,24,3,39,6,0,0,0,0,0,1,153,129,43,0,0,0,2,11,20,53,153,12,2,10,14,5,0,10,153,15,2,8,18,2,18,4,0,0,0,0,0,1,103,70,30,0,0,1,4,11,7,28,115,8,1,14,21,7,0,7,95,10,4,13,32,3,1
0.001973609,0.255286621,7.487905604,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,10,0,0,0,0,0,0,54,10,0,0,0,0,0,0,63,12,13,0,0,0,0,0,0,8,96,1,0,0,0,0,94,153,12,0,0,0,0,10,153,91,0,0,0,0,0,2,153,53,28,3,0,0,0,0,0,2,153,79,5,0,0,0,12,53,85,41,61,14,2,27,87,31,0,0,69,49,4,12,59,7,7,3,0,0,0,0,0,0,116,136,21,0,0,0,0,3,30,74,153,32,1,4,15,8,0,0,137,74,1,6,26,4,1
0.001980919,0.257181027,7.201112321,3,0,0,0,0,0,0,3,49,10,0,0,0,0,23,69,23,6,0,0,0,0,103,126,39,1,0,0,0,0,24,145,5,2,0,0,0,0,0,1,112,86,0,0,0,0,1,14,145,66,0,0,0,0,11,123,24,1,1,0,0,0,11,145,0,1,0,0,0,1,0,0,133,26,0,0,0,1,0,8,145,44,1,0,0,0,1,134,34,11,30,5,1,1,4,93,0,0,0,0,0,0,0,0,64,25,0,0,0,0,0,1,145,141,4,1,0,1,1,4,43,22,30,54,13,6,3,4,1
